run_id,step,start,end,duration_s,status,error
20260223_091842,pipeline.dim_labels,2026-02-23 09:46:46,2026-02-23 09:48:50,124.3,success,
20260223_091842,pipeline.dim_buckets,2026-02-23 09:48:50,2026-02-23 09:51:01,130.6,success,
20260223_091842,pipeline.fact_sub_tasks,2026-02-23 09:51:01,2026-02-23 10:19:44,1723.7,success,
20260223_091842,pipeline.fact_tasks_prod,2026-02-23 10:19:44,2026-02-23 10:19:49,4.2,success,
20260223_102748,pipeline.dim_events,2026-02-23 10:27:48,2026-02-23 10:32:00,251.2,success,
20260223_113735,pipeline.dim_events,2026-02-23 11:37:35,2026-02-23 11:41:25,230.4,success,
20260223_113735,pipeline.fact_tasks_staging,2026-02-23 11:41:25,2026-02-23 12:06:39,1514.1,success,
20260223_113735,pipeline.dim_labels,2026-02-23 12:06:39,2026-02-23 12:09:31,172.0,success,
20260223_113735,pipeline.dim_buckets,2026-02-23 12:09:31,2026-02-23 12:11:40,128.4,success,
20260223_113735,pipeline.fact_sub_tasks,2026-02-23 12:11:40,2026-02-23 12:40:04,1704.0,success,
20260223_113735,pipeline.fact_tasks_prod,2026-02-23 12:40:04,2026-02-23 12:40:07,3.8,success,
